district_name,ac_name,polling_station_number,polling_station_name,polling_station_location,telugu_file_name,eng_file_name
1-Srikakulam,1-Ichchapuram,1,Muchendra,MPE SCHOOL Muchendra,Not available / Unable to download,Not available / Unable to download
1-Srikakulam,1-Ichchapuram,2,Kedaripuram,"MPE SCHOOL, MIDDLE ROOM KedariPuram",Not available / Unable to download,Not available / Unable to download
